P_NAME,P_MASS,P_PERIOD,P_SEMI_MAJOR_AXIS,S_DISTANCE,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,S_LUMINOSITY,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
PH2 b,,282.5255,0.828,347.27,0.94,1,5629,0.8975934,1.438525,269.68061,0.89952583,1,0,0,0.40626382
POTS-1 b,734.18269,3.1606296,0.03734,1200,0.69,0.59,4400,0.03734,83.840672,770.91873,0.116897,0,0,0,0.095279575
PSR B1257+12 b,0.01906968,25.262,0.19,600,1.4,,,0.19,,,,0,0,0,
PSR B1257+12 c,4.3002129,66.5419,0.36,600,1.4,,,0.36006227,,,,0,0,0,
PSR B1257+12 d,3.8997496,98.2114,0.46,600,1.4,,,0.46,,,,0,0,0,
PSR B1620-26 b,794.57001,,23,,1.35,,,23,,,,0,0,0,
PSR J1719-1438 b,381.3936,0.09070629,0.0044,1200,1.4,0.04,4500,0.00440792,30.418407,597.90944,0.000587839,0,0,0,0.099321152
PSR J2322-2650 b,252.64148,0.322964,0.0102,230,1.4,,,0.010200015,,,,0,0,0,
Pr0201 b,171.62712,4.4264,0.06,181.54,1.24,1.15,6174,0.06,478.24267,1191.3983,1.7216736,0,0,0,0.065924002
Pr0211 b,597.51665,2.1461,0.03176,183.68,0.94,0.83,5300,0.031761921,482.85151,1194.2313,0.4870217,0,0,0,0.06911655
Pr0211 c,2475.8801,4850,5.5,183.68,0.94,0.83,5300,6.886275,0.022862614,87.447789,0.4870217,0,0,0,0.094547648
Proxima Cen b,1.271312,11.186,0.0485,1.3,0.12,0.14,3050,0.051470625,0.68966317,226.6055,0.001519652,1,1,1,0.86745445
Qatar-1 b,411.26944,1.4200242,0.02332,186.61,0.84,0.8,5013,0.02332,665.88978,1294.1824,0.36212578,0,0,0,0.071185251
Qatar-10 b,233.92141,1.645321,0.0286,539,1.16,1.25,6124,0.0286,2407.2286,1784.5316,1.9690167,0,0,0,0.053513592
Qatar-2 b,792.66304,1.3371165,0.02153,182.32,0.74,0.78,4645,0.02153,547.43513,1232.333,0.25375857,0,0,0,0.066000207
Qatar-3 b,1369.8387,2.5079204,0.03783,750.99,1.15,1.27,6007,0.03783,1314.7826,1534.1167,1.881597,0,0,0,0.073027205
Qatar-4 b,1938.7508,1.8053564,0.02803,332.17,0.9,0.85,5215,0.02803,609.39313,1265.8123,0.47878854,0,0,0,0.071769754
Qatar-5 b,1373.017,2.8792319,0.04127,371.39,1.13,1.08,5747,0.04127,669.31723,1295.8446,1.1399897,0,0,0,0.073180144
Qatar-7 b,597.51665,2.032046,0.0352,725,1.41,1.56,6387,0.0352,2928.466,1874.1526,3.6284865,0,0,0,0.048909418
Qatar-8 b,117.91419,3.71495,0.0474,276.7,1.03,1.31,5738,0.0474,741.85107,1329.6094,1.6667613,0,0,0,0.06409945
Qatar-9 b,378.21532,1.540731,0.0234,211.4,0.72,0.7,4309,0.0234,276.41333,1038.8065,0.15135288,0,0,0,0.08154751
ROXs 12 b,5085.248,,210,120,0.87,,3850,210,,,,0,0,0,
ROXs 42 B b,2860.452,,157,135,1,,,157,,,,0,0,0,
RR Cae b,1334.8776,4343.5,5.3,21.2,0.44,,,5.3,,,,0,0,0,
